"date","depth","temperature"
2015-06-12,9,13.6866485285897
2015-06-12,10,12.8917560251743
2015-06-12,11,11.7203529738583
2015-06-12,12,11.2598553997723
2015-06-12,13,10.957250179309
2015-06-12,14,10.5926288418732
2015-06-12,15,10.2344866842473
2015-06-12,16,9.93583929097869
2015-06-12,17,9.62438959025237
2015-06-12,18,9.2801297108472
2015-06-12,19,8.95270069514931
2015-06-12,20,8.16157623642112
2015-06-12,21,7.41886785471281
2015-06-12,22,7.29043336232105
2015-06-12,23,7.20113008707604
2015-06-12,24,6.86251101470993
2015-06-12,25,6.54735082931042
2015-06-13,0,19.4956255022707
2015-06-13,1,19.479464135345
2015-06-13,2,19.4444970772769
2015-06-13,3,19.4329525885227
2015-06-13,4,19.4065595692023
2015-06-13,5,19.2086856097924
2015-06-13,6,17.1745712564866
2015-06-13,7,15.8702343360755
2015-06-13,8,14.4475526386505
2015-06-13,9,13.8907552448863
2015-06-13,10,13.211934320023
2015-06-13,11,12.1544554558253
2015-06-13,12,11.4862975620969
2015-06-13,13,11.1260602873096
2015-06-13,14,10.7502934689135
2015-06-13,15,10.3840562938314
2015-06-13,16,10.06529469356
2015-06-13,17,9.78251751341192
2015-06-13,18,9.46223150290509
2015-06-13,19,9.12826649361611
2015-06-13,20,8.66698154957193
2015-06-13,21,7.66712254237156
2015-06-13,22,7.30611944550574
2015-06-13,23,7.2162109689214
2015-06-13,24,7.06098701006005
2015-06-13,25,6.65695391935145
2015-06-14,0,20.4947130323648
2015-06-14,1,20.2233766227626
2015-06-14,2,19.7873937419011
2015-06-14,3,19.6497438376119
2015-06-14,4,19.5372281014152
2015-06-14,5,19.033671383642
2015-06-14,6,16.9862788314316
2015-06-14,7,15.600872341455
2015-06-14,8,14.3101109623473
2015-06-14,9,13.8081833948668
2015-06-14,10,13.0688690235952
2015-06-14,11,11.9290273188241
2015-06-14,12,11.3725939962201
2015-06-14,13,11.0405598586952
2015-06-14,14,10.6626434239941
2015-06-14,15,10.293546005895
2015-06-14,16,9.97824693209568
2015-06-14,17,9.68311372906222
2015-06-14,18,9.34489474221109
2015-06-14,19,9.01708039334603
2015-06-14,20,8.42216009017037
2015-06-14,21,7.43198275882916
2015-06-14,22,7.24574607011269
2015-06-14,23,7.15757173699352
2015-06-14,24,6.86022424388141
2015-06-14,25,6.56765921242093
2015-06-15,0,20.6721109857753
2015-06-15,1,20.6129351458657
2015-06-15,2,20.5133341358279
2015-06-15,3,20.476070089842
2015-06-15,4,20.0548971373219
2015-06-15,5,19.3644690446564
2015-06-15,6,17.2730187456908
2015-06-15,7,15.9239306607275
2015-06-15,8,14.4876502479392
2015-06-15,9,13.9117531357522
2015-06-15,10,13.2255350467809
2015-06-15,11,12.1666867828683
2015-06-15,12,11.4977293267916
2015-06-15,13,11.1319562585041
2015-06-15,14,10.7426806304949
2015-06-15,15,10.365455033478
2015-06-15,16,10.0396598394107
2015-06-15,17,9.75270919204255
2015-06-15,18,9.4277538285593
2015-06-15,19,9.09002995486726
2015-06-15,20,8.62730249940153
2015-06-15,21,7.55390469244836
2015-06-15,22,7.2335078286715
2015-06-15,23,7.14851006121732
2015-06-15,24,6.86128842772434
2015-06-15,25,6.57930061291149
2015-06-16,0,20.6784806859272
2015-06-16,1,20.6601575978362
2015-06-16,2,20.5570750909225
2015-06-16,3,20.5117257128905
2015-06-16,4,20.4688973159434
2015-06-16,5,20.0246640762494
2015-06-16,6,17.3260664257806
2015-06-16,7,15.9518122520328
2015-06-16,8,14.5117291611843
2015-06-16,9,13.9244614508242
2015-06-16,10,13.2322903488624
2015-06-16,11,12.1747643984523
2015-06-16,12,11.5058650944833
2015-06-16,13,11.1364100099837
2015-06-16,14,10.7408835135705
2015-06-16,15,10.3586341084881
2015-06-16,16,9.99422609064203
2015-06-16,17,9.70331127854904
2015-06-16,18,9.36332325398019
2015-06-16,19,8.98296625712867
2015-06-16,20,8.53346322835471
2015-06-16,21,7.61887007511662
2015-06-16,22,7.26540615266696
2015-06-16,23,7.1849667256078
2015-06-16,24,7.04463924940056
2015-06-16,25,6.68233267890897
2015-06-17,0,21.0054389166317
2015-06-17,1,20.9939802664059
2015-06-17,2,20.9017175399984
2015-06-17,3,20.8502267200229
2015-06-17,4,20.7462048259552
2015-06-17,5,20.5712813733799
2015-06-17,6,18.2248121266553
2015-06-17,7,16.5806953225281
2015-06-17,8,14.9840755627223
2015-06-17,9,14.1115254400977
2015-06-17,10,13.5069358343714
2015-06-17,11,12.660908153636
2015-06-17,12,11.8389011442065
2015-06-17,13,11.3426317108378
2015-06-17,14,10.9156327441431
2015-06-17,15,10.5203906103038
2015-06-17,16,10.1425037997097
2015-06-17,17,9.83729451507609
2015-06-17,18,9.54908756154446
2015-06-17,19,9.14742726464674
2015-06-17,20,8.81483695301329
2015-06-17,21,8.2706830310355
2015-06-17,22,7.35686441144439
2015-06-17,23,7.18923418022721
2015-06-17,24,7.04201539819532
2015-06-17,25,6.69310521861423
2015-06-18,0,21.3098149522403
2015-06-18,1,21.3098149522403
2015-06-18,2,21.3092867850233
2015-06-18,3,21.2180008230765
2015-06-18,4,21.1083916158873
2015-06-18,5,21.0730872296831
2015-06-18,6,18.0684865000375
2015-06-18,7,16.3323405954735
2015-06-18,8,14.7845962456981
2015-06-18,9,14.048392678839
2015-06-18,10,13.391762502468
2015-06-18,11,12.4409307049006
2015-06-18,12,11.6738605179274
2015-06-18,13,11.2484750769445
2015-06-18,14,10.8307872574545
2015-06-18,15,10.4339445712098
2015-06-18,16,10.0555631236434
2015-06-18,17,9.76217221880465
2015-06-18,18,9.44086458456951
2015-06-18,19,9.08737735090932
2015-06-18,20,8.65381164197094
2015-06-18,21,7.52933148373482
2015-06-18,22,7.23668573464273
2015-06-18,23,7.18473612975228
2015-06-18,24,7.0553032062867
2015-06-18,25,6.71695470991843
2015-06-19,0,21.516737776624
2015-06-19,1,21.516737776624
2015-06-19,2,21.516737776624
2015-06-19,3,21.516737776624
2015-06-19,4,21.5163096816803
2015-06-19,5,21.2494084687211
2015-06-19,6,18.9406894249773
2015-06-19,7,16.6676587080681
2015-06-19,8,15.0657699907637
2015-06-19,9,14.158973763708
2015-06-19,10,13.5290808729871
2015-06-19,11,12.6819454638602
2015-06-19,12,11.8689223338518
2015-06-19,13,11.3656736075951
2015-06-19,14,10.9266678511316
2015-06-19,15,10.5214048159856
2015-06-19,16,10.1355025692401
2015-06-19,17,9.82508447051673
2015-06-19,18,9.48422421874331
2015-06-19,19,9.04055910359227
2015-06-19,20,8.65990886488116
2015-06-19,21,7.78565124157824
2015-06-19,22,7.27005405512532
2015-06-19,23,7.19556915483286
2015-06-19,24,7.07118559326853
2015-06-19,25,6.7433780582163
2015-06-20,0,21.4811813743933
2015-06-20,1,21.4811809217282
2015-06-20,2,21.4801920923865
2015-06-20,3,21.4032450608539
2015-06-20,4,21.3775721752765
2015-06-20,5,21.3417161295009
2015-06-20,6,19.0289305331066
2015-06-20,7,16.7153991172906
2015-06-20,8,15.1031809678136
2015-06-20,9,14.1818173210971
2015-06-20,10,13.5415499286503
2015-06-20,11,12.6922043844495
2015-06-20,12,11.8810591310289
2015-06-20,13,11.3754234662946
2015-06-20,14,10.930349961681
2015-06-20,15,10.5194680550675
2015-06-20,16,10.1298279419177
2015-06-20,17,9.8168991400931
2015-06-20,18,9.52517854664847
2015-06-20,19,9.16770841825931
2015-06-20,20,8.83311260451318
2015-06-20,21,8.05765319544088
2015-06-20,22,7.30263450810731
2015-06-20,23,7.20161707948422
2015-06-20,24,7.08137029898373
2015-06-20,25,6.76488136825832
2015-06-21,0,22.0476055183491
2015-06-21,1,21.9969392691151
2015-06-21,2,21.8545968191146
2015-06-21,3,21.7960721409864
2015-06-21,4,21.6762682595808
2015-06-21,5,21.1670057977087
2015-06-21,6,17.8048692150486
2015-06-21,7,16.1447122907103
2015-06-21,8,14.6774557682256
2015-06-21,9,14.0164744420485
2015-06-21,10,13.2811181913875
2015-06-21,11,12.2343122843816
2015-06-21,12,11.5648036831133
2015-06-21,13,11.1734465488554
2015-06-21,14,10.7473820406106
